date,x1,x2,x3,x4,x5,x6,location
1/31/2021,102,29,12,1,4,122,8
1/30/2021,84,34,8,1,3,106,8
1/29/2021,51,23,12,1,2,94,8
1/28/2021,69,27,7,1,0,52,8
1/27/2021,84,31,10,1,2,76,8
1/26/2021,80,29,8,1,4,84,8
1/25/2021,69,15,11,1,2,58,8
1/24/2021,38,29,7,1,2,50,8
1/23/2021,44,33,1,1,2,22,8
1/22/2021,118,32,2,0,2,28,8
1/21/2021,139,13,14,1,2,86,8
1/20/2021,100,7,25,3,5,118,8
1/19/2021,63,20,18,1,3,88,8
1/18/2021,81,25,8,1,2,56,8
1/17/2021,60,29,7,1,2,70,8
1/16/2021,121,28,4,1,2,44,8
1/15/2021,122,28,6,1,3,112,8
1/14/2021,103,29,13,2,3,130,8
1/13/2021,115,24,12,1,2,132,8
1/12/2021,144,31,10,2,3,136,8
1/11/2021,132,21,19,1,4,110,8
1/10/2021,83,11,18,1,4,104,8
1/9/2021,68,25,8,2,3,64,8
1/8/2021,62,21,10,2,3,56,8
1/7/2021,57,24,10,2,2,46,8
1/6/2021,67,25,5,1,2,54,8
1/5/2021,80,24,13,1,2,56,8
1/4/2021,93,26,12,1,2,76,8
1/3/2021,72,25,11,1,3,84,8
1/2/2021,74,24,7,1,2,88,8
1/1/2021,83,26,6,1,2,78,8
12/31/2020,66,24,9,0,2,66,8
12/30/2020,61,19,12,0,2,60,8
12/29/2020,140,21,9,0,2,70,8
12/28/2020,144,16,20,1,4,118,8
12/27/2020,144,32,13,1,4,120,8
12/26/2020,92,22,12,1,5,122,8
12/25/2020,61,22,11,1,3,86,8
12/24/2020,113,27,6,1,2,50,8
12/23/2020,154,30,9,1,4,108,8
12/22/2020,140,25,19,1,5,128,8
12/21/2020,98,23,18,2,4,110,8
12/20/2020,79,26,12,1,3,78,8
12/19/2020,65,28,10,1,3,66,8
12/18/2020,91,24,9,1,2,60,8
12/17/2020,73,20,20,1,4,74,8
12/16/2020,55,19,16,1,3,58,8
12/15/2020,51,21,10,1,3,42,8
12/14/2020,55,24,7,1,2,42,8
12/13/2020,102,22,7,1,2,44,8
12/12/2020,117,26,10,1,3,84,8
12/11/2020,159,30,12,2,4,112,8
12/10/2020,131,26,15,1,5,142,8
12/9/2020,98,20,19,1,4,112,8
12/8/2020,69,21,21,1,4,86,8
12/7/2020,127,22,15,1,2,58,8
12/6/2020,124,26,11,2,4,108,8
12/5/2020,100,28,12,1,4,104,8
12/4/2020,72,21,14,1,4,86,8
12/3/2020,69,20,14,1,3,64,8
12/2/2020,72,24,13,1,3,60,8
12/1/2020,80,18,19,1,2,62,8
11/30/2020,72,20,17,2,3,68,8
11/29/2020,75,22,9,1,2,58,8
11/28/2020,59,21,8,1,2,60,8
11/27/2020,111,23,6,1,1,50,8
11/26/2020,125,24,16,1,2,94,8
11/25/2020,95,24,20,2,3,106,8
11/24/2020,71,18,26,1,2,84,8
11/23/2020,0,20,19,1,2,66,8
11/22/2020,0,20,9,1,1,56,8
11/21/2020,0,25,4,0,1,42,8
11/20/2020,0,24,5,1,1,46,8
11/19/2020,47,23,8,0,2,52,8
11/18/2020,92,24,4,1,3,36,8
11/17/2020,143,13,8,1,3,82,8
11/16/2020,158,34,12,1,4,138,8
11/15/2020,136,33,10,1,4,138,8
11/14/2020,134,48,7,1,3,114,8
11/13/2020,153,35,9,1,3,118,8
11/12/2020,127,30,20,1,3,130,8
11/11/2020,87,41,16,1,2,108,8
11/10/2020,63,35,11,1,2,78,8
11/9/2020,49,27,11,1,2,64,8
11/8/2020,80,28,7,1,1,56,8
11/7/2020,126,31,5,1,1,104,8
11/6/2020,124,63,17,1,3,138,8
11/5/2020,91,22,20,1,3,108,8
11/4/2020,59,27,12,1,2,84,8
11/3/2020,51,26,9,1,2,56,8
11/2/2020,68,30,7,1,2,52,8
11/1/2020,75,32,7,1,2,76,8
10/31/2020,76,27,7,1,2,58,8
10/30/2020,93,49,9,1,2,72,8
10/29/2020,74,34,13,1,3,82,8
10/28/2020,117,38,13,1,2,82,8
10/27/2020,158,44,11,0,3,118,8
10/26/2020,133,64,12,1,5,146,8
10/25/2020,0,55,10,1,3,100,8
10/24/2020,57,44,8,1,2,70,8
10/23/2020,63,34,6,1,2,56,8
10/22/2020,104,32,7,1,2,60,8
10/21/2020,130,42,11,1,3,96,8
10/20/2020,138,17,16,1,4,110,8
10/19/2020,120,43,11,1,4,122,8
10/18/2020,91,65,8,1,4,106,8
10/17/2020,104,53,6,0,4,80,8
10/16/2020,99,42,12,0,4,88,8
10/15/2020,76,16,19,5,4,96,8
10/14/2020,89,40,12,1,3,78,8
10/13/2020,72,38,12,1,3,88,8
10/12/2020,98,28,11,1,3,66,8
10/11/2020,66,57,8,1,3,88,8
10/10/2020,56,37,4,1,4,52,8
10/9/2020,54,46,3,1,3,40,8
10/8/2020,46,50,3,1,2,36,8
10/7/2020,63,41,3,1,2,28,8
10/6/2020,61,30,7,1,3,48,8
10/5/2020,55,26,9,1,3,46,8
10/4/2020,76,31,5,1,2,54,8
10/3/2020,70,52,3,1,4,68,8
10/2/2020,72,38,2,0,4,58,8
10/1/2020,68,55,2,1,3,62,8
9/30/2020,65,50,2,1,3,54,8
9/29/2020,78,20,3,0,3,42,8
9/28/2020,56,66,6,1,2,70,8
9/27/2020,38,41,5,1,3,44,8
9/26/2020,38,39,2,0,2,28,8
9/25/2020,34,37,2,1,2,28,8
